,article_id,article_title,article_writer,article_view,article_like,article_comment,article_datetime
0,964075536,파라소닉 KV-S1058Y 문서스캐너 쓸만한가요?,trueopenlife,2,0,0,2023-01-02 12:01:23
1,964069433,전자담배 판매하고 싶은데 금지품목인가요..?,vcx7788,1,0,0,2023-01-02 11:33:00
2,964069007,쿠팡 장바구니 구매합니다~,hyo33333,3,0,0,2023-01-02 11:31:03
3,964068548,라무진 징기스칸 주물불판  판매,vivajha,6,0,0,2023-01-02 11:28:51
4,964067747,명품 샤넬시계 J12 세라믹,cocacos,6,0,0,2023-01-02 11:25:08
5,964066665,서울 여의도동 당근 챗 도움주실분,eunjin6131,2,0,0,2023-01-02 11:19:32
6,964065569,박성우-신세계이마트 상품권 사기자(농협계좌),osseo2,12,0,0,2023-01-02 11:14:51
7,964062046,김하늘 분께 베베드피노 사신분 계신가요,rhaehfdldi12,86,0,0,2023-01-02 10:59:01
8,964059635,비겐의료기 (장수돔),hhhpoly,5,0,1,2023-01-02 10:47:32
9,964052061,김하늘 사기꾼 피해자 계시면 댓글 달아주세요,rhaehfdldi12,25,0,0,2023-01-02 10:14:16
